benchmark,val_accuracy,TP,FP,FN,TN,precision,recall_sensitivity,specificity,f1_score,balanced_accuracy
1,0.9076923131942749,120.0,143.0,106.0,4536.0,0.45627376425855515,0.5309734513274337,0.969437914084206,0.49079754601226994,0.7502056827058199
2,0.9743276238441467,495.0,791.0,3.0,40507.0,0.3849144634525661,0.9939759036144579,0.9808465300983098,0.554932735426009,0.9874112168563838
3,0.9975961446762085,1771.0,2268.0,37.0,44065.0,0.43847487001733104,0.9795353982300885,0.9510500075540111,0.6057807422609885,0.9652927028920498
4,0.9838709831237793,172.0,1252.0,5.0,30638.0,0.12078651685393259,0.9717514124293786,0.9607400439009094,0.21486570893191756,0.966245728165144
5,0.9391727447509766,38.0,1062.0,3.0,18265.0,0.034545454545454546,0.926829268292683,0.9450509649712837,0.06660823838737949,0.9359401166319834
average,0.9605319619178772,519.2,1103.2,30.8,27602.2,0.28699901382556786,0.8806130867788082,0.961425092121744,0.3865969942037129,0.9210190894502762
